substrate,arm,band_k,seed,n,ipc
nanowire-network (real),A-readout,1,20260830,350,6.081
nanowire-network (real),A-readout,2,20260830,350,1.898
nanowire-network (real),A-readout,4,20260830,350,0.845
nanowire-network (real),A-readout,8,20260830,350,0.674
esn-fast (leak 1.0),A-readout,1,20260830,350,8.242
esn-fast (leak 1.0),B-drive,1,20260830,350,8.242
esn-fast (leak 1.0),A-readout,2,20260830,350,5.345
esn-fast (leak 1.0),B-drive,2,20260830,350,7.304
esn-fast (leak 1.0),A-readout,4,20260830,350,2.596
esn-fast (leak 1.0),B-drive,4,20260830,350,4.535
esn-fast (leak 1.0),A-readout,8,20260830,350,1.453
esn-fast (leak 1.0),B-drive,8,20260830,350,2.494
esn-mid (leak 0.3),A-readout,1,20260830,350,2.77
esn-mid (leak 0.3),B-drive,1,20260830,350,2.77
esn-mid (leak 0.3),A-readout,2,20260830,350,3.307
esn-mid (leak 0.3),B-drive,2,20260830,350,4.027
esn-mid (leak 0.3),A-readout,4,20260830,350,1.37
esn-mid (leak 0.3),B-drive,4,20260830,350,4.958
esn-mid (leak 0.3),A-readout,8,20260830,350,1.164
esn-mid (leak 0.3),B-drive,8,20260830,350,4.315
esn-slow (leak 0.1),A-readout,1,20260830,350,1.461
esn-slow (leak 0.1),B-drive,1,20260830,350,1.461
esn-slow (leak 0.1),A-readout,2,20260830,350,1.956
esn-slow (leak 0.1),B-drive,2,20260830,350,1.923
esn-slow (leak 0.1),A-readout,4,20260830,350,1.229
esn-slow (leak 0.1),B-drive,4,20260830,350,2.783
esn-slow (leak 0.1),A-readout,8,20260830,350,1.105
esn-slow (leak 0.1),B-drive,8,20260830,350,3.929
esn-fast (leak 1.0),A-readout,1,20260831,350,7.891
esn-fast (leak 1.0),B-drive,1,20260831,350,7.891
esn-fast (leak 1.0),A-readout,2,20260831,350,4.631
esn-fast (leak 1.0),B-drive,2,20260831,350,5.895
esn-fast (leak 1.0),A-readout,4,20260831,350,2.739
esn-fast (leak 1.0),B-drive,4,20260831,350,3.177
esn-fast (leak 1.0),A-readout,8,20260831,350,1.513
esn-fast (leak 1.0),B-drive,8,20260831,350,1.671
esn-mid (leak 0.3),A-readout,1,20260831,350,2.916
esn-mid (leak 0.3),B-drive,1,20260831,350,2.916
esn-mid (leak 0.3),A-readout,2,20260831,350,1.981
esn-mid (leak 0.3),B-drive,2,20260831,350,3.491
esn-mid (leak 0.3),A-readout,4,20260831,350,1.17
esn-mid (leak 0.3),B-drive,4,20260831,350,4.326
esn-mid (leak 0.3),A-readout,8,20260831,350,1.05
esn-mid (leak 0.3),B-drive,8,20260831,350,3.633
esn-slow (leak 0.1),A-readout,1,20260831,350,1.681
esn-slow (leak 0.1),B-drive,1,20260831,350,1.681
esn-slow (leak 0.1),A-readout,2,20260831,350,0.82
esn-slow (leak 0.1),B-drive,2,20260831,350,2.187
esn-slow (leak 0.1),A-readout,4,20260831,350,1.098
esn-slow (leak 0.1),B-drive,4,20260831,350,2.902
esn-slow (leak 0.1),A-readout,8,20260831,350,0.971
esn-slow (leak 0.1),B-drive,8,20260831,350,3.528
esn-fast (leak 1.0),A-readout,1,20260832,350,8.253
esn-fast (leak 1.0),B-drive,1,20260832,350,8.253
esn-fast (leak 1.0),A-readout,2,20260832,350,5.194
esn-fast (leak 1.0),B-drive,2,20260832,350,6.586
esn-fast (leak 1.0),A-readout,4,20260832,350,3.086
esn-fast (leak 1.0),B-drive,4,20260832,350,3.884
esn-fast (leak 1.0),A-readout,8,20260832,350,1.481
esn-fast (leak 1.0),B-drive,8,20260832,350,2.189
esn-mid (leak 0.3),A-readout,1,20260832,350,3.544
esn-mid (leak 0.3),B-drive,1,20260832,350,3.544
esn-mid (leak 0.3),A-readout,2,20260832,350,1.748
esn-mid (leak 0.3),B-drive,2,20260832,350,4.453
esn-mid (leak 0.3),A-readout,4,20260832,350,1.128
esn-mid (leak 0.3),B-drive,4,20260832,350,5.076
esn-mid (leak 0.3),A-readout,8,20260832,350,0.861
esn-mid (leak 0.3),B-drive,8,20260832,350,4.472
esn-slow (leak 0.1),A-readout,1,20260832,350,2.251
esn-slow (leak 0.1),B-drive,1,20260832,350,2.251
esn-slow (leak 0.1),A-readout,2,20260832,350,1.11
esn-slow (leak 0.1),B-drive,2,20260832,350,2.775
esn-slow (leak 0.1),A-readout,4,20260832,350,1.08
esn-slow (leak 0.1),B-drive,4,20260832,350,3.579
esn-slow (leak 0.1),A-readout,8,20260832,350,0.716
esn-slow (leak 0.1),B-drive,8,20260832,350,4.353
esn-fast (leak 1.0),A-readout,1,20260833,350,7.758
esn-fast (leak 1.0),B-drive,1,20260833,350,7.758
esn-fast (leak 1.0),A-readout,2,20260833,350,3.827
esn-fast (leak 1.0),B-drive,2,20260833,350,5.295
esn-fast (leak 1.0),A-readout,4,20260833,350,2.054
esn-fast (leak 1.0),B-drive,4,20260833,350,3.118
esn-fast (leak 1.0),A-readout,8,20260833,350,1.21
esn-fast (leak 1.0),B-drive,8,20260833,350,1.771
esn-mid (leak 0.3),A-readout,1,20260833,350,1.972
esn-mid (leak 0.3),B-drive,1,20260833,350,1.972
esn-mid (leak 0.3),A-readout,2,20260833,350,2.776
esn-mid (leak 0.3),B-drive,2,20260833,350,2.558
esn-mid (leak 0.3),A-readout,4,20260833,350,1.081
esn-mid (leak 0.3),B-drive,4,20260833,350,2.857
esn-mid (leak 0.3),A-readout,8,20260833,350,0.798
