family,substrate,tau_drive_steps,arm,band_k,seed,n,ipc
esn,esn-fast (leak 1.0),1.0,A-readout,1,20260830,350,8.242
esn,esn-fast (leak 1.0),1.0,B-drive,1,20260830,350,8.242
esn,esn-fast (leak 1.0),1.0,A-readout,2,20260830,350,5.345
esn,esn-fast (leak 1.0),1.0,B-drive,2,20260830,350,7.304
esn,esn-fast (leak 1.0),1.0,A-readout,4,20260830,350,2.596
esn,esn-fast (leak 1.0),1.0,B-drive,4,20260830,350,4.535
esn,esn-fast (leak 1.0),1.0,A-readout,8,20260830,350,1.453
esn,esn-fast (leak 1.0),1.0,B-drive,8,20260830,350,2.494
esn,esn-mid (leak 0.3),2.8,A-readout,1,20260830,350,2.77
esn,esn-mid (leak 0.3),2.8,B-drive,1,20260830,350,2.77
esn,esn-mid (leak 0.3),2.8,A-readout,2,20260830,350,3.307
esn,esn-mid (leak 0.3),2.8,B-drive,2,20260830,350,4.027
esn,esn-mid (leak 0.3),2.8,A-readout,4,20260830,350,1.37
esn,esn-mid (leak 0.3),2.8,B-drive,4,20260830,350,4.958
esn,esn-mid (leak 0.3),2.8,A-readout,8,20260830,350,1.164
esn,esn-mid (leak 0.3),2.8,B-drive,8,20260830,350,4.315
esn,esn-slow (leak 0.1),9.5,A-readout,1,20260830,350,1.461
esn,esn-slow (leak 0.1),9.5,B-drive,1,20260830,350,1.461
esn,esn-slow (leak 0.1),9.5,A-readout,2,20260830,350,1.956
esn,esn-slow (leak 0.1),9.5,B-drive,2,20260830,350,1.923
esn,esn-slow (leak 0.1),9.5,A-readout,4,20260830,350,1.229
esn,esn-slow (leak 0.1),9.5,B-drive,4,20260830,350,2.783
esn,esn-slow (leak 0.1),9.5,A-readout,8,20260830,350,1.105
esn,esn-slow (leak 0.1),9.5,B-drive,8,20260830,350,3.929
mass-spring,spring-fast (omega 2.0),1.67,A-readout,1,20260830,350,5.847
mass-spring,spring-fast (omega 2.0),1.67,B-drive,1,20260830,350,5.847
mass-spring,spring-fast (omega 2.0),1.67,A-readout,2,20260830,350,2.325
mass-spring,spring-fast (omega 2.0),1.67,B-drive,2,20260830,350,3.507
mass-spring,spring-fast (omega 2.0),1.67,A-readout,4,20260830,350,1.401
mass-spring,spring-fast (omega 2.0),1.67,B-drive,4,20260830,350,2.299
mass-spring,spring-fast (omega 2.0),1.67,A-readout,8,20260830,350,0.773
mass-spring,spring-fast (omega 2.0),1.67,B-drive,8,20260830,350,1.147
