substrate,arm,band_k,max_delay,basis_terms,samples_per_term,feasible,seed,n,ipc
esn-fast (leak 1.0),A-readout,1,2,5,70.0,1,20260830,350,2.032
esn-fast (leak 1.0),A-readout,1,4,14,25.0,1,20260830,350,4.146
esn-fast (leak 1.0),A-readout,1,8,44,7.955,1,20260830,350,8.242
esn-fast (leak 1.0),A-readout,1,16,152,2.303,1,20260830,350,13.747
esn-fast (leak 1.0),A-readout,1,32,560,0.625,0,20260830,350,22.889
esn-fast (leak 1.0),B-drive,1,2,5,70.0,1,20260830,350,2.032
esn-fast (leak 1.0),B-drive,1,4,14,25.0,1,20260830,350,4.146
esn-fast (leak 1.0),B-drive,1,8,44,7.955,1,20260830,350,8.242
esn-fast (leak 1.0),B-drive,1,16,152,2.303,1,20260830,350,13.747
esn-fast (leak 1.0),B-drive,1,32,560,0.625,0,20260830,350,22.889
esn-fast (leak 1.0),A-readout,2,2,5,70.0,1,20260830,350,1.978
esn-fast (leak 1.0),A-readout,2,4,14,25.0,1,20260830,350,3.79
esn-fast (leak 1.0),A-readout,2,8,44,7.955,1,20260830,350,5.345
esn-fast (leak 1.0),A-readout,2,16,152,2.303,1,20260830,350,7.538
esn-fast (leak 1.0),A-readout,2,32,560,0.625,0,20260830,350,13.39
esn-fast (leak 1.0),B-drive,2,2,5,70.0,1,20260830,350,2.005
esn-fast (leak 1.0),B-drive,2,4,14,25.0,1,20260830,350,4.178
esn-fast (leak 1.0),B-drive,2,8,44,7.955,1,20260830,350,7.304
esn-fast (leak 1.0),B-drive,2,16,152,2.303,1,20260830,350,9.995
esn-fast (leak 1.0),B-drive,2,32,560,0.625,0,20260830,350,17.593
esn-fast (leak 1.0),A-readout,4,2,5,70.0,1,20260830,350,1.821
esn-fast (leak 1.0),A-readout,4,4,14,25.0,1,20260830,350,2.162
esn-fast (leak 1.0),A-readout,4,8,44,7.955,1,20260830,350,2.596
esn-fast (leak 1.0),A-readout,4,16,152,2.303,1,20260830,350,4.188
esn-fast (leak 1.0),A-readout,4,32,560,0.625,0,20260830,350,11.193
esn-fast (leak 1.0),B-drive,4,2,5,70.0,1,20260830,350,1.869
esn-fast (leak 1.0),B-drive,4,4,14,25.0,1,20260830,350,3.53
esn-fast (leak 1.0),B-drive,4,8,44,7.955,1,20260830,350,4.535
