arm,omega,band_k,period_drive_steps,tau_drive_steps,samples_per_period,aliased,seed,n,ipc
A-readout,0.12,1,52.3599,27.7778,52.3599,0,20260830,350,1.109
B-drive,0.12,1,52.3599,27.7778,52.3599,0,20260830,350,1.109
A-readout,0.12,2,52.3599,27.7778,26.1799,0,20260830,350,1.715
B-drive,0.12,2,52.3599,27.7778,26.1799,0,20260830,350,1.959
A-readout,0.12,3,52.3599,27.7778,17.4533,0,20260830,350,1.056
B-drive,0.12,3,52.3599,27.7778,17.4533,0,20260830,350,2.886
A-readout,0.12,4,52.3599,27.7778,13.09,0,20260830,350,1.276
B-drive,0.12,4,52.3599,27.7778,13.09,0,20260830,350,3.688
A-readout,0.12,6,52.3599,27.7778,8.7266,0,20260830,350,1.028
B-drive,0.12,6,52.3599,27.7778,8.7266,0,20260830,350,4.986
A-readout,0.12,8,52.3599,27.7778,6.545,0,20260830,350,1.638
B-drive,0.12,8,52.3599,27.7778,6.545,0,20260830,350,5.194
A-readout,0.12,12,52.3599,27.7778,4.3633,0,20260830,350,1.081
B-drive,0.12,12,52.3599,27.7778,4.3633,0,20260830,350,6.575
A-readout,0.12,16,52.3599,27.7778,3.2725,0,20260830,350,1.058
B-drive,0.12,16,52.3599,27.7778,3.2725,0,20260830,350,6.191
A-readout,0.155,1,40.5367,21.5054,40.5367,0,20260830,350,1.473
B-drive,0.155,1,40.5367,21.5054,40.5367,0,20260830,350,1.473
A-readout,0.155,2,40.5367,21.5054,20.2683,0,20260830,350,2.235
B-drive,0.155,2,40.5367,21.5054,20.2683,0,20260830,350,2.69
A-readout,0.155,3,40.5367,21.5054,13.5122,0,20260830,350,1.335
B-drive,0.155,3,40.5367,21.5054,13.5122,0,20260830,350,3.549
A-readout,0.155,4,40.5367,21.5054,10.1342,0,20260830,350,1.203
B-drive,0.155,4,40.5367,21.5054,10.1342,0,20260830,350,4.844
A-readout,0.155,6,40.5367,21.5054,6.7561,0,20260830,350,1.196
B-drive,0.155,6,40.5367,21.5054,6.7561,0,20260830,350,5.128
A-readout,0.155,8,40.5367,21.5054,5.0671,0,20260830,350,1.387
B-drive,0.155,8,40.5367,21.5054,5.0671,0,20260830,350,5.997
A-readout,0.155,12,40.5367,21.5054,3.3781,0,20260830,350,1.15
B-drive,0.155,12,40.5367,21.5054,3.3781,0,20260830,350,6.245
A-readout,0.155,16,40.5367,21.5054,2.5335,0,20260830,350,0.986
B-drive,0.155,16,40.5367,21.5054,2.5335,0,20260830,350,4.992
A-readout,0.2001,1,31.4002,16.6583,31.4002,0,20260830,350,1.687
B-drive,0.2001,1,31.4002,16.6583,31.4002,0,20260830,350,1.687
A-readout,0.2001,2,31.4002,16.6583,15.7001,0,20260830,350,2.736
B-drive,0.2001,2,31.4002,16.6583,15.7001,0,20260830,350,3.057
A-readout,0.2001,3,31.4002,16.6583,10.4667,0,20260830,350,1.394
B-drive,0.2001,3,31.4002,16.6583,10.4667,0,20260830,350,4.733
A-readout,0.2001,4,31.4002,16.6583,7.8501,0,20260830,350,1.501
B-drive,0.2001,4,31.4002,16.6583,7.8501,0,20260830,350,4.994
A-readout,0.2001,6,31.4002,16.6583,5.2334,0,20260830,350,1.595
B-drive,0.2001,6,31.4002,16.6583,5.2334,0,20260830,350,5.894
A-readout,0.2001,8,31.4002,16.6583,3.925,0,20260830,350,1.452
B-drive,0.2001,8,31.4002,16.6583,3.925,0,20260830,350,6.626
A-readout,0.2001,12,31.4002,16.6583,2.6167,0,20260830,350,1.132
B-drive,0.2001,12,31.4002,16.6583,2.6167,0,20260830,350,5.213
A-readout,0.2001,16,31.4002,16.6583,1.9625,1,20260830,350,1.016
B-drive,0.2001,16,31.4002,16.6583,1.9625,1,20260830,350,4.308
A-readout,0.2585,1,24.3063,12.8949,24.3063,0,20260830,350,2.171
B-drive,0.2585,1,24.3063,12.8949,24.3063,0,20260830,350,2.171
A-readout,0.2585,2,24.3063,12.8949,12.1532,0,20260830,350,2.795
B-drive,0.2585,2,24.3063,12.8949,12.1532,0,20260830,350,4.13
A-readout,0.2585,3,24.3063,12.8949,8.1021,0,20260830,350,1.698
B-drive,0.2585,3,24.3063,12.8949,8.1021,0,20260830,350,5.011
A-readout,0.2585,4,24.3063,12.8949,6.0766,0,20260830,350,1.71
B-drive,0.2585,4,24.3063,12.8949,6.0766,0,20260830,350,5.481
A-readout,0.2585,6,24.3063,12.8949,4.0511,0,20260830,350,2.148
B-drive,0.2585,6,24.3063,12.8949,4.0511,0,20260830,350,6.687
A-readout,0.2585,8,24.3063,12.8949,3.0383,0,20260830,350,1.898
B-drive,0.2585,8,24.3063,12.8949,3.0383,0,20260830,350,5.979
A-readout,0.2585,12,24.3063,12.8949,2.0255,0,20260830,350,1.542
B-drive,0.2585,12,24.3063,12.8949,2.0255,0,20260830,350,4.371
A-readout,0.2585,16,24.3063,12.8949,1.5191,1,20260830,350,0.785
B-drive,0.2585,16,24.3063,12.8949,1.5191,1,20260830,350,3.853
A-readout,0.3338,1,18.8232,9.986,18.8232,0,20260830,350,2.884
B-drive,0.3338,1,18.8232,9.986,18.8232,0,20260830,350,2.884
A-readout,0.3338,2,18.8232,9.986,9.4116,0,20260830,350,3.076
B-drive,0.3338,2,18.8232,9.986,9.4116,0,20260830,350,4.964
A-readout,0.3338,3,18.8232,9.986,6.2744,0,20260830,350,2.129
B-drive,0.3338,3,18.8232,9.986,6.2744,0,20260830,350,5.385
A-readout,0.3338,4,18.8232,9.986,4.7058,0,20260830,350,1.466
B-drive,0.3338,4,18.8232,9.986,4.7058,0,20260830,350,6.381
A-readout,0.3338,6,18.8232,9.986,3.1372,0,20260830,350,2.173
B-drive,0.3338,6,18.8232,9.986,3.1372,0,20260830,350,6.129
A-readout,0.3338,8,18.8232,9.986,2.3529,0,20260830,350,1.755
B-drive,0.3338,8,18.8232,9.986,2.3529,0,20260830,350,4.616
A-readout,0.3338,12,18.8232,9.986,1.5686,1,20260830,350,1.535
B-drive,0.3338,12,18.8232,9.986,1.5686,1,20260830,350,3.844
A-readout,0.3338,16,18.8232,9.986,1.1765,1,20260830,350,0.987
B-drive,0.3338,16,18.8232,9.986,1.1765,1,20260830,350,3.534
A-readout,0.4311,1,14.5748,7.7322,14.5748,0,20260830,350,3.33
B-drive,0.4311,1,14.5748,7.7322,14.5748,0,20260830,350,3.33
A-readout,0.4311,2,14.5748,7.7322,7.2874,0,20260830,350,3.023
B-drive,0.4311,2,14.5748,7.7322,7.2874,0,20260830,350,5.039
A-readout,0.4311,3,14.5748,7.7322,4.8583,0,20260830,350,3.257
B-drive,0.4311,3,14.5748,7.7322,4.8583,0,20260830,350,6.29
A-readout,0.4311,4,14.5748,7.7322,3.6437,0,20260830,350,1.847
B-drive,0.4311,4,14.5748,7.7322,3.6437,0,20260830,350,6.499
A-readout,0.4311,6,14.5748,7.7322,2.4291,0,20260830,350,2.219
B-drive,0.4311,6,14.5748,7.7322,2.4291,0,20260830,350,4.716
A-readout,0.4311,8,14.5748,7.7322,1.8218,1,20260830,350,1.806
B-drive,0.4311,8,14.5748,7.7322,1.8218,1,20260830,350,4.081
A-readout,0.4311,12,14.5748,7.7322,1.2146,1,20260830,350,1.703
B-drive,0.4311,12,14.5748,7.7322,1.2146,1,20260830,350,3.59
A-readout,0.4311,16,14.5748,7.7322,0.9109,1,20260830,350,1.063
B-drive,0.4311,16,14.5748,7.7322,0.9109,1,20260830,350,2.795
A-readout,0.5567,1,11.2865,5.9877,11.2865,0,20260830,350,4.511
B-drive,0.5567,1,11.2865,5.9877,11.2865,0,20260830,350,4.511
A-readout,0.5567,2,11.2865,5.9877,5.6432,0,20260830,350,2.903
B-drive,0.5567,2,11.2865,5.9877,5.6432,0,20260830,350,5.781
A-readout,0.5567,3,11.2865,5.9877,3.7622,0,20260830,350,3.553
B-drive,0.5567,3,11.2865,5.9877,3.7622,0,20260830,350,6.541
A-readout,0.5567,4,11.2865,5.9877,2.8216,0,20260830,350,1.84
B-drive,0.5567,4,11.2865,5.9877,2.8216,0,20260830,350,5.56
A-readout,0.5567,6,11.2865,5.9877,1.8811,1,20260830,350,2.251
B-drive,0.5567,6,11.2865,5.9877,1.8811,1,20260830,350,4.133
A-readout,0.5567,8,11.2865,5.9877,1.4108,1,20260830,350,1.576
B-drive,0.5567,8,11.2865,5.9877,1.4108,1,20260830,350,3.669
A-readout,0.5567,12,11.2865,5.9877,0.9405,1,20260830,350,1.565
B-drive,0.5567,12,11.2865,5.9877,0.9405,1,20260830,350,2.872
A-readout,0.5567,16,11.2865,5.9877,0.7054,1,20260830,350,1.136
