substrate,arm,band_k,seed,n,m_streams,ipc,mc,kr,gr
esn-fast (leak 1.0),A-readout,1,20260830,350,60,8.242,6.016,57.0,13.0
esn-fast (leak 1.0),B-drive,1,20260830,350,60,8.242,6.016,57.0,13.0
esn-fast (leak 1.0),A-readout,2,20260830,350,60,5.345,2.789,56.0,14.0
esn-fast (leak 1.0),B-drive,2,20260830,350,60,7.304,4.13,52.0,8.0
esn-fast (leak 1.0),A-readout,4,20260830,350,60,2.596,1.154,57.0,13.0
esn-fast (leak 1.0),B-drive,4,20260830,350,60,4.535,2.315,37.0,6.0
esn-fast (leak 1.0),A-readout,8,20260830,350,60,1.453,0.54,57.0,14.0
esn-fast (leak 1.0),B-drive,8,20260830,350,60,2.494,1.694,21.0,4.0
esn-mid (leak 0.3),A-readout,1,20260830,350,60,2.77,1.551,30.0,11.0
esn-mid (leak 0.3),B-drive,1,20260830,350,60,2.77,1.551,30.0,11.0
esn-mid (leak 0.3),A-readout,2,20260830,350,60,3.307,2.086,31.0,13.0
esn-mid (leak 0.3),B-drive,2,20260830,350,60,4.027,2.472,33.0,9.0
esn-mid (leak 0.3),A-readout,4,20260830,350,60,1.37,0.728,31.0,9.0
esn-mid (leak 0.3),B-drive,4,20260830,350,60,4.958,2.95,31.0,7.0
esn-mid (leak 0.3),A-readout,8,20260830,350,60,1.164,0.568,31.0,10.0
esn-mid (leak 0.3),B-drive,8,20260830,350,60,4.315,2.377,25.0,5.0
esn-slow (leak 0.1),A-readout,1,20260830,350,60,1.461,0.867,22.0,10.0
esn-slow (leak 0.1),B-drive,1,20260830,350,60,1.461,0.867,22.0,10.0
esn-slow (leak 0.1),A-readout,2,20260830,350,60,1.956,0.921,22.0,11.0
esn-slow (leak 0.1),B-drive,2,20260830,350,60,1.923,1.102,24.0,11.0
esn-slow (leak 0.1),A-readout,4,20260830,350,60,1.229,0.572,22.0,10.0
esn-slow (leak 0.1),B-drive,4,20260830,350,60,2.783,1.597,28.0,9.0
esn-slow (leak 0.1),A-readout,8,20260830,350,60,1.105,0.297,21.0,10.0
esn-slow (leak 0.1),B-drive,8,20260830,350,60,3.929,2.359,28.0,8.0
esn-fast (leak 1.0),A-readout,1,20260831,350,60,7.891,5.0,56.0,11.0
esn-fast (leak 1.0),B-drive,1,20260831,350,60,7.891,5.0,56.0,11.0
esn-fast (leak 1.0),A-readout,2,20260831,350,60,4.631,2.497,56.0,13.0
esn-fast (leak 1.0),B-drive,2,20260831,350,60,5.895,3.398,47.0,8.0
esn-fast (leak 1.0),A-readout,4,20260831,350,60,2.739,1.245,55.0,12.0
esn-fast (leak 1.0),B-drive,4,20260831,350,60,3.177,1.722,29.0,4.0
esn-fast (leak 1.0),A-readout,8,20260831,350,60,1.513,0.39,55.0,13.0
esn-fast (leak 1.0),B-drive,8,20260831,350,60,1.671,0.865,15.0,3.0
esn-mid (leak 0.3),A-readout,1,20260831,350,60,2.916,1.905,32.0,12.0
esn-mid (leak 0.3),B-drive,1,20260831,350,60,2.916,1.905,32.0,12.0
esn-mid (leak 0.3),A-readout,2,20260831,350,60,1.981,0.832,30.0,11.0
esn-mid (leak 0.3),B-drive,2,20260831,350,60,3.491,2.407,33.0,9.0
esn-mid (leak 0.3),A-readout,4,20260831,350,60,1.17,0.219,30.0,11.0
esn-mid (leak 0.3),B-drive,4,20260831,350,60,4.326,2.924,30.0,7.0
esn-mid (leak 0.3),A-readout,8,20260831,350,60,1.05,0.479,31.0,10.0
esn-mid (leak 0.3),B-drive,8,20260831,350,60,3.633,1.788,24.0,5.0
esn-slow (leak 0.1),A-readout,1,20260831,350,60,1.681,0.721,22.0,12.0
esn-slow (leak 0.1),B-drive,1,20260831,350,60,1.681,0.721,22.0,12.0
esn-slow (leak 0.1),A-readout,2,20260831,350,60,0.82,0.242,21.0,10.0
esn-slow (leak 0.1),B-drive,2,20260831,350,60,2.187,1.134,23.0,11.0
esn-slow (leak 0.1),A-readout,4,20260831,350,60,1.098,0.255,21.0,10.0
esn-slow (leak 0.1),B-drive,4,20260831,350,60,2.902,1.954,28.0,10.0
esn-slow (leak 0.1),A-readout,8,20260831,350,60,0.971,0.2,21.0,10.0
esn-slow (leak 0.1),B-drive,8,20260831,350,60,3.528,2.56,28.0,9.0
esn-fast (leak 1.0),A-readout,1,20260832,350,60,8.253,5.894,55.0,14.0
esn-fast (leak 1.0),B-drive,1,20260832,350,60,8.253,5.894,55.0,14.0
esn-fast (leak 1.0),A-readout,2,20260832,350,60,5.194,3.25,56.0,14.0
esn-fast (leak 1.0),B-drive,2,20260832,350,60,6.586,4.254,46.0,10.0
esn-fast (leak 1.0),A-readout,4,20260832,350,60,3.086,1.534,56.0,13.0
esn-fast (leak 1.0),B-drive,4,20260832,350,60,3.884,2.624,30.0,7.0
esn-fast (leak 1.0),A-readout,8,20260832,350,60,1.481,0.71,57.0,16.0
esn-fast (leak 1.0),B-drive,8,20260832,350,60,2.189,1.055,15.0,5.0
esn-mid (leak 0.3),A-readout,1,20260832,350,60,3.544,2.581,29.0,12.0
esn-mid (leak 0.3),B-drive,1,20260832,350,60,3.544,2.581,29.0,12.0
esn-mid (leak 0.3),A-readout,2,20260832,350,60,1.748,0.769,28.0,11.0
esn-mid (leak 0.3),B-drive,2,20260832,350,60,4.453,3.019,31.0,9.0
esn-mid (leak 0.3),A-readout,4,20260832,350,60,1.128,0.583,30.0,10.0
esn-mid (leak 0.3),B-drive,4,20260832,350,60,5.076,3.894,27.0,8.0
esn-mid (leak 0.3),A-readout,8,20260832,350,60,0.861,0.335,31.0,9.0
esn-mid (leak 0.3),B-drive,8,20260832,350,60,4.472,3.501,21.0,7.0
esn-slow (leak 0.1),A-readout,1,20260832,350,60,2.251,1.194,20.0,12.0
esn-slow (leak 0.1),B-drive,1,20260832,350,60,2.251,1.194,20.0,12.0
esn-slow (leak 0.1),A-readout,2,20260832,350,60,1.11,0.3,20.0,11.0
esn-slow (leak 0.1),B-drive,2,20260832,350,60,2.775,1.649,23.0,11.0
