substrate,arm,band_k,seed,n,m_streams,ipc,mc,kr,gr
spring-fast (omega 2.0),A-readout,1,20260830,350,60,5.847,2.478,41.0,8.0
spring-fast (omega 2.0),B-drive,1,20260830,350,60,5.847,2.478,41.0,8.0
spring-fast (omega 2.0),A-readout,2,20260830,350,60,2.325,0.898,40.0,8.0
spring-fast (omega 2.0),B-drive,2,20260830,350,60,3.507,2.071,25.0,5.0
spring-fast (omega 2.0),A-readout,4,20260830,350,60,1.401,0.152,41.0,8.0
spring-fast (omega 2.0),B-drive,4,20260830,350,60,2.299,0.96,13.0,4.0
spring-fast (omega 2.0),A-readout,8,20260830,350,60,0.773,0.159,40.0,9.0
spring-fast (omega 2.0),B-drive,8,20260830,350,60,1.147,0.045,6.0,3.0
spring-mid (omega 0.6),A-readout,1,20260830,350,60,4.815,2.446,40.0,10.0
spring-mid (omega 0.6),B-drive,1,20260830,350,60,4.815,2.446,40.0,10.0
spring-mid (omega 0.6),A-readout,2,20260830,350,60,2.958,1.745,40.0,11.0
spring-mid (omega 0.6),B-drive,2,20260830,350,60,6.025,3.014,43.0,10.0
spring-mid (omega 0.6),A-readout,4,20260830,350,60,1.871,0.793,41.0,10.0
spring-mid (omega 0.6),B-drive,4,20260830,350,60,5.13,2.119,40.0,8.0
spring-mid (omega 0.6),A-readout,8,20260830,350,60,1.457,0.443,39.0,11.0
spring-mid (omega 0.6),B-drive,8,20260830,350,60,3.647,1.834,25.0,5.0
spring-slow (omega 0.2),A-readout,1,20260830,350,60,1.687,0.994,34.0,10.0
spring-slow (omega 0.2),B-drive,1,20260830,350,60,1.687,0.994,34.0,10.0
spring-slow (omega 0.2),A-readout,2,20260830,350,60,2.736,1.925,33.0,10.0
spring-slow (omega 0.2),B-drive,2,20260830,350,60,3.056,1.729,37.0,11.0
spring-slow (omega 0.2),A-readout,4,20260830,350,60,1.501,0.42,32.0,10.0
spring-slow (omega 0.2),B-drive,4,20260830,350,60,4.994,2.991,40.0,10.0
spring-slow (omega 0.2),A-readout,8,20260830,350,60,1.451,0.847,32.0,9.0
spring-slow (omega 0.2),B-drive,8,20260830,350,60,6.627,3.102,43.0,10.0
spring-fast (omega 2.0),A-readout,1,20260831,350,60,5.811,2.767,30.0,8.0
spring-fast (omega 2.0),B-drive,1,20260831,350,60,5.811,2.767,30.0,8.0
spring-fast (omega 2.0),A-readout,2,20260831,350,60,2.969,1.336,32.0,9.0
spring-fast (omega 2.0),B-drive,2,20260831,350,60,3.941,2.1,21.0,5.0
spring-fast (omega 2.0),A-readout,4,20260831,350,60,1.428,0.545,32.0,8.0
spring-fast (omega 2.0),B-drive,4,20260831,350,60,2.584,1.001,12.0,4.0
spring-fast (omega 2.0),A-readout,8,20260831,350,60,1.073,0.113,31.0,11.0
spring-fast (omega 2.0),B-drive,8,20260831,350,60,1.468,0.892,6.0,3.0
spring-mid (omega 0.6),A-readout,1,20260831,350,60,4.186,2.327,31.0,12.0
spring-mid (omega 0.6),B-drive,1,20260831,350,60,4.186,2.327,31.0,12.0
spring-mid (omega 0.6),A-readout,2,20260831,350,60,2.697,1.585,30.0,11.0
spring-mid (omega 0.6),B-drive,2,20260831,350,60,4.665,2.197,34.0,10.0
spring-mid (omega 0.6),A-readout,4,20260831,350,60,1.77,0.686,32.0,10.0
spring-mid (omega 0.6),B-drive,4,20260831,350,60,5.822,3.222,30.0,8.0
spring-mid (omega 0.6),A-readout,8,20260831,350,60,1.182,0.208,29.0,9.0
spring-mid (omega 0.6),B-drive,8,20260831,350,60,4.017,1.904,19.0,5.0
spring-slow (omega 0.2),A-readout,1,20260831,350,60,1.957,1.006,25.0,9.0
spring-slow (omega 0.2),B-drive,1,20260831,350,60,1.957,1.006,25.0,9.0
spring-slow (omega 0.2),A-readout,2,20260831,350,60,1.174,0.609,25.0,9.0
spring-slow (omega 0.2),B-drive,2,20260831,350,60,3.523,2.118,29.0,12.0
spring-slow (omega 0.2),A-readout,4,20260831,350,60,1.262,0.199,26.0,8.0
spring-slow (omega 0.2),B-drive,4,20260831,350,60,4.145,2.388,33.0,11.0
spring-slow (omega 0.2),A-readout,8,20260831,350,60,1.57,0.477,24.0,8.0
spring-slow (omega 0.2),B-drive,8,20260831,350,60,5.775,2.747,34.0,8.0
spring-fast (omega 2.0),A-readout,1,20260832,350,60,5.146,1.94,34.0,10.0
spring-fast (omega 2.0),B-drive,1,20260832,350,60,5.146,1.94,34.0,10.0
spring-fast (omega 2.0),A-readout,2,20260832,350,60,2.741,1.047,35.0,8.0
spring-fast (omega 2.0),B-drive,2,20260832,350,60,3.169,1.523,22.0,7.0
spring-fast (omega 2.0),A-readout,4,20260832,350,60,1.613,0.364,35.0,8.0
spring-fast (omega 2.0),B-drive,4,20260832,350,60,1.862,0.907,12.0,5.0
spring-fast (omega 2.0),A-readout,8,20260832,350,60,0.997,0.128,36.0,13.0
spring-fast (omega 2.0),B-drive,8,20260832,350,60,1.053,0.165,6.0,3.0
