hold,arm,variant,band_k,axis,n_states,mean,ci_lo,ci_hi
states,A-readout,leaking rate 1.0 (fast),1,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 1.0 (fast),1,GR,120,60.0,60.0,60.0
states,A-readout,leaking rate 1.0 (fast),2,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 1.0 (fast),2,GR,120,60.0,60.0,60.0
states,A-readout,leaking rate 1.0 (fast),4,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 1.0 (fast),4,GR,120,60.0,60.0,60.0
states,A-readout,leaking rate 1.0 (fast),8,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 1.0 (fast),8,GR,120,60.0,60.0,60.0
states,A-readout,leaking rate 0.3 (mid),1,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 0.3 (mid),1,GR,120,52.6,49.836,55.364
states,A-readout,leaking rate 0.3 (mid),2,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 0.3 (mid),2,GR,120,57.5,55.806,59.194
states,A-readout,leaking rate 0.3 (mid),4,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 0.3 (mid),4,GR,120,58.5,56.983,60.017
states,A-readout,leaking rate 0.3 (mid),8,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 0.3 (mid),8,GR,120,58.5,57.141,59.859
states,A-readout,leaking rate 0.1 (slow),1,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 0.1 (slow),1,GR,120,24.9,22.627,27.173
states,A-readout,leaking rate 0.1 (slow),2,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 0.1 (slow),2,GR,120,30.4,28.457,32.343
states,A-readout,leaking rate 0.1 (slow),4,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 0.1 (slow),4,GR,120,36.6,33.092,40.108
states,A-readout,leaking rate 0.1 (slow),8,KR,120,60.0,60.0,60.0
states,A-readout,leaking rate 0.1 (slow),8,GR,120,39.9,36.606,43.194
states,B-drive,leaking rate 1.0 (fast),1,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 1.0 (fast),1,GR,120,60.0,60.0,60.0
states,B-drive,leaking rate 1.0 (fast),2,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 1.0 (fast),2,GR,120,60.0,60.0,60.0
states,B-drive,leaking rate 1.0 (fast),4,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 1.0 (fast),4,GR,120,60.0,60.0,60.0
states,B-drive,leaking rate 1.0 (fast),8,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 1.0 (fast),8,GR,120,44.9,39.905,49.895
states,B-drive,leaking rate 0.3 (mid),1,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 0.3 (mid),1,GR,120,52.6,49.836,55.364
states,B-drive,leaking rate 0.3 (mid),2,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 0.3 (mid),2,GR,120,59.2,58.388,60.012
states,B-drive,leaking rate 0.3 (mid),4,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 0.3 (mid),4,GR,120,59.4,58.797,60.003
states,B-drive,leaking rate 0.3 (mid),8,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 0.3 (mid),8,GR,120,55.1,51.461,58.739
states,B-drive,leaking rate 0.1 (slow),1,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 0.1 (slow),1,GR,120,24.9,22.627,27.173
states,B-drive,leaking rate 0.1 (slow),2,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 0.1 (slow),2,GR,120,37.2,34.113,40.287
states,B-drive,leaking rate 0.1 (slow),4,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 0.1 (slow),4,GR,120,51.4,48.895,53.905
states,B-drive,leaking rate 0.1 (slow),8,KR,120,60.0,60.0,60.0
states,B-drive,leaking rate 0.1 (slow),8,GR,120,58.0,56.063,59.937
drive,A-readout,leaking rate 1.0 (fast),1,KR,120,60.0,60.0,60.0
drive,A-readout,leaking rate 1.0 (fast),1,GR,120,60.0,60.0,60.0
drive,A-readout,leaking rate 1.0 (fast),2,KR,61,60.0,60.0,60.0
drive,A-readout,leaking rate 1.0 (fast),2,GR,61,59.8,59.498,60.102
drive,A-readout,leaking rate 1.0 (fast),4,KR,31,31.0,31.0,31.0
drive,A-readout,leaking rate 1.0 (fast),4,GR,31,31.0,31.0,31.0
drive,A-readout,leaking rate 1.0 (fast),8,KR,16,16.0,16.0,16.0
drive,A-readout,leaking rate 1.0 (fast),8,GR,16,16.0,16.0,16.0
drive,A-readout,leaking rate 0.3 (mid),1,KR,120,60.0,60.0,60.0
drive,A-readout,leaking rate 0.3 (mid),1,GR,120,52.6,49.836,55.364
drive,A-readout,leaking rate 0.3 (mid),2,KR,61,60.0,60.0,60.0
drive,A-readout,leaking rate 0.3 (mid),2,GR,61,45.9,43.435,48.365
drive,A-readout,leaking rate 0.3 (mid),4,KR,31,31.0,31.0,31.0
drive,A-readout,leaking rate 0.3 (mid),4,GR,31,31.0,31.0,31.0
drive,A-readout,leaking rate 0.3 (mid),8,KR,16,16.0,16.0,16.0
drive,A-readout,leaking rate 0.3 (mid),8,GR,16,16.0,16.0,16.0
drive,A-readout,leaking rate 0.1 (slow),1,KR,120,60.0,60.0,60.0
drive,A-readout,leaking rate 0.1 (slow),1,GR,120,24.9,22.627,27.173
drive,A-readout,leaking rate 0.1 (slow),2,KR,61,59.6,59.231,59.969
drive,A-readout,leaking rate 0.1 (slow),2,GR,61,22.8,20.543,25.057
drive,A-readout,leaking rate 0.1 (slow),4,KR,31,31.0,31.0,31.0
drive,A-readout,leaking rate 0.1 (slow),4,GR,31,19.6,18.161,21.039
drive,A-readout,leaking rate 0.1 (slow),8,KR,16,16.0,16.0,16.0
drive,A-readout,leaking rate 0.1 (slow),8,GR,16,15.2,14.543,15.857
drive,B-drive,leaking rate 1.0 (fast),1,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 1.0 (fast),1,GR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 1.0 (fast),2,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 1.0 (fast),2,GR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 1.0 (fast),4,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 1.0 (fast),4,GR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 1.0 (fast),8,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 1.0 (fast),8,GR,120,45.4,40.306,50.494
drive,B-drive,leaking rate 0.3 (mid),1,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 0.3 (mid),1,GR,120,52.6,49.836,55.364
drive,B-drive,leaking rate 0.3 (mid),2,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 0.3 (mid),2,GR,120,59.2,58.321,60.079
drive,B-drive,leaking rate 0.3 (mid),4,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 0.3 (mid),4,GR,120,59.3,58.343,60.257
drive,B-drive,leaking rate 0.3 (mid),8,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 0.3 (mid),8,GR,120,55.0,51.545,58.455
drive,B-drive,leaking rate 0.1 (slow),1,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 0.1 (slow),1,GR,120,24.9,22.627,27.173
drive,B-drive,leaking rate 0.1 (slow),2,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 0.1 (slow),2,GR,120,38.0,34.837,41.163
drive,B-drive,leaking rate 0.1 (slow),4,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 0.1 (slow),4,GR,120,51.8,48.732,54.868
drive,B-drive,leaking rate 0.1 (slow),8,KR,120,60.0,60.0,60.0
drive,B-drive,leaking rate 0.1 (slow),8,GR,120,58.1,56.301,59.899
