hold,arm,variant,tau_drive_steps,band_k,axis,n_states,mean,ci_lo,ci_hi
states,A-readout,omega 2.0 (fast),1.67,1,KR,120,60.0,60.0,60.0
states,A-readout,omega 2.0 (fast),1.67,1,GR,120,60.0,60.0,60.0
states,A-readout,omega 2.0 (fast),1.67,2,KR,120,60.0,60.0,60.0
states,A-readout,omega 2.0 (fast),1.67,2,GR,120,60.0,60.0,60.0
states,A-readout,omega 2.0 (fast),1.67,4,KR,120,60.0,60.0,60.0
states,A-readout,omega 2.0 (fast),1.67,4,GR,120,60.0,60.0,60.0
states,A-readout,omega 2.0 (fast),1.67,8,KR,120,60.0,60.0,60.0
states,A-readout,omega 2.0 (fast),1.67,8,GR,120,60.0,60.0,60.0
states,A-readout,omega 0.6 (mid),5.56,1,KR,120,60.0,60.0,60.0
states,A-readout,omega 0.6 (mid),5.56,1,GR,120,53.7,51.462,55.938
states,A-readout,omega 0.6 (mid),5.56,2,KR,120,60.0,60.0,60.0
states,A-readout,omega 0.6 (mid),5.56,2,GR,120,59.6,58.909,60.291
states,A-readout,omega 0.6 (mid),5.56,4,KR,120,60.0,60.0,60.0
states,A-readout,omega 0.6 (mid),5.56,4,GR,120,59.6,59.1,60.1
states,A-readout,omega 0.6 (mid),5.56,8,KR,120,60.0,60.0,60.0
states,A-readout,omega 0.6 (mid),5.56,8,GR,120,60.0,60.0,60.0
states,A-readout,omega 0.2 (slow),16.67,1,KR,120,51.3,49.867,52.733
states,A-readout,omega 0.2 (slow),16.67,1,GR,120,25.8,24.087,27.513
states,A-readout,omega 0.2 (slow),16.67,2,KR,120,60.0,60.0,60.0
states,A-readout,omega 0.2 (slow),16.67,2,GR,120,37.0,35.348,38.652
states,A-readout,omega 0.2 (slow),16.67,4,KR,120,60.0,60.0,60.0
states,A-readout,omega 0.2 (slow),16.67,4,GR,120,48.6,45.637,51.563
states,A-readout,omega 0.2 (slow),16.67,8,KR,120,60.0,60.0,60.0
states,A-readout,omega 0.2 (slow),16.67,8,GR,120,54.3,52.361,56.239
states,B-drive,omega 2.0 (fast),1.67,1,KR,120,60.0,60.0,60.0
states,B-drive,omega 2.0 (fast),1.67,1,GR,120,60.0,60.0,60.0
states,B-drive,omega 2.0 (fast),1.67,2,KR,120,60.0,60.0,60.0
states,B-drive,omega 2.0 (fast),1.67,2,GR,120,58.6,57.472,59.728
states,B-drive,omega 2.0 (fast),1.67,4,KR,120,60.0,60.0,60.0
