substrate,n,ipc
nanowire-network (real),350,6.081
nanowire-network (real),700,8.477
nanowire-network (real),1400,11.326
nanowire-network (real),2800,11.679
esn-fast (leak 1.0),350,8.242
esn-fast (leak 1.0),700,7.748
esn-fast (leak 1.0),1400,7.714
esn-fast (leak 1.0),2800,7.639
esn-mid (leak 0.3),350,2.77
esn-mid (leak 0.3),700,2.815
esn-mid (leak 0.3),1400,2.229
esn-mid (leak 0.3),2800,2.645
esn-slow (leak 0.1),350,1.461
esn-slow (leak 0.1),700,1.448
esn-slow (leak 0.1),1400,1.103
esn-slow (leak 0.1),2800,1.267
